node	tissue	leaves	parent_node	parent_tissue	migration_event
0	PRL	False			
1	PRL	False	0	PRL	False
3	PRL	False	1	PRL	False
5	PRL	False	3	PRL	False
6	PRL	False	5	PRL	False
7	PRL	False	5	PRL	False
9	LGR	False	7	PRL	True
10	LGR	False	6	PRL	True
11	PRL	False	6	PRL	False
13	PRL	False	2	PRL	False
14	LGR	False	4	LGR	False
19	LGR	False	9	LGR	False
21	LGR	False	13	PRL	True
24	LGR	False	14	LGR	False
26	LGR	False	16	LGR	False
28	PRL	False	11	PRL	False
34	LGR	False	26	LGR	False
37	HMR	False	28	PRL	True
39	LGR	False	19	LGR	False
42	LGR	False	40	LGR	False
44	LGR	False	39	LGR	False
45	LGR	False	39	LGR	False
48	LGR	False	44	LGR	False
49	LGR	False	44	LGR	False
50	LGR	False	24	LGR	False
54	LGR	False	48	LGR	False
55	LGR	False	48	LGR	False
57	LGR	False	34	LGR	False
59	LGR	False	20	LGR	False
61	LGR	False	35	LGR	False
68	LGR	False	54	LGR	False
73	LGR	False	38	LGR	False
80	HMR	False	37	HMR	False
81	HMR	False	37	HMR	False
90	HMR	False	80	HMR	False
94	HMR	False	90	HMR	False
95	HMR	False	90	HMR	False
111	LGR	False	29	PRL	True
122	HMR	False	8	PRL	True
135	LGR	False	108	LGR	False
136	LGR	False	135	LGR	False
137	LGR	False	135	LGR	False
146	LGR	False	21	LGR	False
148	HMR	False	122	HMR	False
153	LGR	False	82	LGR	False
159	LGR	False	71	LGR	False
162	LGR	False	68	LGR	False
166	LGR	False	129	LGR	False
169	HMR	False	160	HMR	False
174	HMR	False	91	HMR	False
177	LGR	False	111	LGR	False
193	LGR	False	142	LGR	False
203	LGR	False	146	LGR	False
206	LGR	False	136	LGR	False
213	HMR	False	116	HMR	False
216	LGR	False	163	LGR	False
232	LGR	False	193	LGR	False
251	LGR	False	207	LGR	False
267	LGR	False	226	LGR	False
277	LGR	False	195	LGR	False
298	LGR	False	62	LGR	False
301	HMR	False	169	HMR	False
307	LGR	False	208	LGR	False
310	HMR	False	103	HMR	False
326	HMR	False	249	HMR	False
331	LGR	False	216	LGR	False
335	LGR	False	333	LGR	False
336	LGR	False	262	LGR	False
349	LGR	False	232	LGR	False
408	LGR	False	354	LGR	False
419	LGR	False	307	LGR	False
442	LGR	False	243	LGR	False
486	LGR	False	442	LGR	False
500	LGR	False	494	LGR	False
525	LGR	False	222	LGR	False
569	LGR	False	478	LGR	False
589	LGR	False	525	LGR	False
618	LGR	False	610	LGR	False
686	LGR	False	375	LGR	False
712	LGR	False	185	LGR	False
716	LGR	False	569	LGR	False
810	LGR	False	435	LGR	False
927	HMR	False	830	HMR	False
1079	HMR	False	638	LGR	True
1107	LGR	False	261	LGR	False
1223	LGR	False	1045	LGR	False
1228	LGR	False	1058	LGR	False
1246	LGR	False	621	LGR	False
1563	LGR	False	990	LGR	False
1568	LGR	False	1143	LGR	False
1767	HMR	False	565	HMR	False
1830	LGR	False	1793	LGR	False
1833	LGR	False	529	LGR	False
2038	LGR	False	1844	LGR	False
2252	LGR	True	1785	LGR	False
2634	HMR	False	927	HMR	False
2799	LGR	False	2565	LGR	False
3123	LGR	True	2481	LGR	False
3553	LGR	True	2198	LGR	False
3966	LGR	True	1745	LGR	False
3970	LGR	False	2705	LGR	False
4499	HMR	False	2664	HMR	False
4905	LGR	True	2364	LGR	False
5022	LGR	True	4166	LGR	False
5309	HMR	True	2837	HMR	False
5430	LGR	True	3910	LGR	False
5592	LGR	True	5044	LGR	False
6236	HMR	True	3798	HMR	False
6366	HMR	True	4703	HMR	False
7699	LGR	True	2492	LGR	False
7743	LGR	True	3333	LGR	False
7826	LGR	False	7351	LGR	False
8118	LGR	True	5270	LGR	False
8371	LGR	True	5863	LGR	False
8544	LGR	True	7828	LGR	False
8739	HMR	True	8003	HMR	False
8827	HMR	True	7622	HMR	False
8885	LGR	True	8735	LGR	False
9144	LGR	True	7826	LGR	False
9759	LGR	True	8656	LGR	False
9892	LGR	True	8987	LGR	False
10346	LGR	True	6324	LGR	False
10455	LGR	True	4518	LGR	False
10532	LGR	True	5099	LGR	False
10600	LGR	True	7176	LGR	False
10732	LGR	True	2887	LGR	False
10779	LGR	True	10076	LGR	False
10896	HMR	True	7539	HMR	False
11115	LGR	True	2621	LGR	False
11251	HMR	True	2588	HMR	False
11363	LGR	True	8436	LGR	False
11597	LGR	True	3412	LGR	False
11601	LGR	True	8300	LGR	False
11966	LGR	True	5577	LGR	False
12161	LGR	True	6461	LGR	False
12186	LGR	True	5034	LGR	False
12330	HMR	True	11947	HMR	False
12608	HMR	True	11295	HMR	False
12936	HMR	True	10381	HMR	False
13386	LGR	True	12226	LGR	False
13460	HMR	False	6061	HMR	False
13633	LGR	True	5693	LGR	False
13701	LGR	True	13100	LGR	False
13829	HMR	True	8555	HMR	False
14091	HMR	True	11791	HMR	False
14122	HMR	True	11080	HMR	False
14124	LGR	True	13186	LGR	False
14322	LGR	True	5373	LGR	False
14366	LGR	True	14092	LGR	False
14641	LGR	True	12685	LGR	False
14664	LGR	True	13018	LGR	False
14807	HMR	True	10321	HMR	False
14938	LGR	True	11834	LGR	False
15126	LGR	True	9091	LGR	False
15176	LGR	True	15135	LGR	False
15219	HMR	True	11181	HMR	False
15572	LGR	True	5150	LGR	False
15843	HMR	True	9123	HMR	False
15934	HMR	True	7950	HMR	False
15974	LGR	True	12955	LGR	False
16032	HMR	True	11338	HMR	False
16082	LGR	True	5412	LGR	False
16169	LGR	True	6394	LGR	False
16321	LGR	True	13481	LGR	False
16367	HMR	True	3986	HMR	False
16443	LGR	True	13530	LGR	False
16510	LGR	True	10775	LGR	False
16553	LGR	True	11650	LGR	False
16778	LGR	True	7029	LGR	False
16780	HMR	True	16292	HMR	False
16798	LGR	True	8160	LGR	False
16800	LGR	True	8354	LGR	False
16871	HMR	True	13674	HMR	False
17052	HMR	True	14647	HMR	False
17444	HMR	True	12932	HMR	False
17496	LGR	True	11676	LGR	False
17573	HMR	True	15644	HMR	False
17594	HMR	True	11759	HMR	False
17654	HMR	True	13460	HMR	False
17655	HMR	True	13460	HMR	False
17752	LGR	True	8278	LGR	False
17792	LGR	True	11327	LGR	False
17919	LGR	True	9217	LGR	False
17942	LGR	True	15915	LGR	False
17985	HMR	True	14253	HMR	False
17996	HMR	True	4474	HMR	False
18041	LGR	True	5599	LGR	False
18091	LGR	True	6339	LGR	False
18297	LGR	True	6429	LGR	False
18465	HMR	True	16128	HMR	False
18470	LGR	True	11625	LGR	False
18634	HMR	True	16136	HMR	False
18666	LGR	True	16378	LGR	False
18676	LGR	True	12037	LGR	False
19069	LGR	True	12611	LGR	False
19121	LGR	True	15832	LGR	False
19433	HMR	True	16730	HMR	False
19579	HMR	True	19041	HMR	False
19920	LGR	True	9670	LGR	False
19957	HMR	True	2987	HMR	False
